ts,pm25,pm10
1587524400,,5.12
1587528000,,4.79
1587531600,,4.79
1587535200,,4.83
1587538800,,5.00
1587542400,,5.17
1587546000,,5.50
1587549600,,5.92
1587553200,,6.08
1587556800,,6.46
1587560400,,6.83
1587564000,,6.79
1587567600,,6.38
1587571200,,6.08
1587574800,,5.88
1587578400,,5.71
1587582000,,5.58
1587585600,,5.46
1587589200,,5.38
1587592800,,5.21
1587596400,,5.04
1587600000,,5.25
1587603600,,5.33
1587607200,,5.50
1587610800,,5.58
1587614400,,6.04
1587618000,,6.08
1587621600,,6.08
1587625200,,6.04
1587628800,,6.08
1587632400,,5.88
1587636000,,5.46
1587639600,,5.12
1587643200,,5.54
1587646800,,5.79
1587650400,,6.25
1587654000,,6.92
1587657600,,7.38
1587661200,,7.79
1587664800,,8.08
1587668400,,8.42
1587672000,,8.62
1587675600,,8.67
1587679200,,8.67
1587682800,,8.62
1587686400,,8.33
1587690000,,8.25
1587693600,,8.46
1587697200,,8.62
1587700800,,8.50
1587704400,,8.67
1587708000,,8.79
1587711600,,8.92
1587715200,,9.25
1587718800,,9.54
1587722400,,10.08
1587726000,,10.46
1587729600,,10.46
1587733200,,10.54
1587736800,,10.38
1587740400,,10.17
1587744000,,9.88
1587747600,,9.71
1587751200,,9.58
1587754800,,9.38
1587758400,,9.17
1587762000,,9.17
1587765600,,9.12
1587769200,,9.17
1587772800,,9.33
1587776400,,9.46
1587780000,,9.21
1587783600,,9.08
1587787200,,9.12
1587790800,,9.04
1587794400,,9.29
1587798000,,9.58
1587801600,,9.67
1587805200,,9.83
1587808800,,9.79
1587812400,,9.75
1587816000,,9.46
1587819600,,9.38
1587823200,,9.46
1587826800,,9.54
1587830400,,9.62
1587834000,,9.71
1587837600,,9.71
1587841200,,9.83
1587844800,,10.21
1587848400,,10.50
1587852000,,10.88
1587855600,,11.04
1587859200,,10.96
1587862800,,10.75
1587866400,,10.67
1587870000,,10.62
1587873600,,10.50
1587877200,,10.46
1587880800,,10.25
1587884400,,9.75
1587888000,,9.58
1587891600,,9.46
1587895200,,9.38
1587898800,,9.92
1587902400,,10.21
1587906000,,10.29
1587909600,,10.42
1587913200,,10.54
1587916800,,10.71
1587920400,,11.25
1587924000,,12.00
1587927600,,12.62
1587931200,,13.00
1587934800,,13.17
1587938400,,13.21
1587942000,,13.38
1587945600,,13.79
1587949200,,14.17
1587952800,,14.50
1587956400,,15.04
1587960000,,15.58
1587963600,,15.96
1587967200,,15.92
1587970800,,16.25
1587974400,,16.21
1587978000,,16.17
1587981600,,16.21
1587985200,,15.75
1587988800,,15.67
1587992400,,15.58
1587996000,,15.29
1587999600,,15.00
1588003200,,14.67
1588006800,,13.88
1588010400,,13.08
1588014000,,12.50
1588017600,,12.04
1588021200,,11.58
1588024800,,11.21
1588028400,,10.88
1588032000,,10.67
1588035600,,10.42
1588039200,,10.17
1588042800,,9.71
1588046400,,9.21
1588050000,,8.96
1588053600,,8.88
1588057200,,8.67
1588060800,,8.58
1588064400,,8.58
1588068000,,8.83
1588071600,,8.96
1588075200,,8.42
1588078800,,8.17
1588082400,,8.08
1588086000,,7.92
1588089600,,7.75
1588093200,,7.67
1588096800,,7.58
1588100400,,7.25
1588104000,,7.04
1588107600,,7.04
1588111200,,7.00
1588114800,,6.96
1588118400,,6.67
1588122000,,6.67
1588125600,,6.83
1588129200,,6.88
1588132800,,6.79
1588136400,,6.79
1588140000,,6.83
1588143600,,6.88
1588147200,,6.75
1588150800,,6.62
1588154400,,6.25
1588158000,,6.04
1588161600,,6.21
1588165200,,6.17
1588168800,,6.12
1588172400,,6.17
1588176000,,6.25
1588179600,,6.33
1588183200,,6.46
1588186800,,6.58
1588190400,,6.62
1588194000,,6.62
1588197600,,6.67
1588201200,,6.67
1588204800,,6.67
1588208400,,6.58
1588212000,,6.33
1588215600,,6.04
1588219200,,6.12
1588222800,,6.29
1588226400,,6.75
1588230000,,7.00
1588233600,,7.29
1588237200,,7.42
1588240800,,7.54
1588244400,,7.58
1588248000,,7.58
1588251600,,7.75
1588255200,,7.92
1588258800,,8.04
1588262400,,8.17
1588266000,,8.33
1588269600,,8.38
1588273200,,8.46
1588276800,,8.62
1588280400,,8.75
1588284000,,8.83
1588287600,,8.88
1588291200,,9.04
1588294800,,9.04
1588298400,,9.29
1588302000,,9.71
1588305600,,9.96
1588309200,,10.12
1588312800,,9.88
1588316400,,9.88
1588320000,,10.00
1588323600,,10.04
1588327200,,10.04
1588330800,,10.00
1588334400,,10.08
1588338000,,9.92
1588341600,,9.75
1588345200,,9.58
1588348800,,9.46
1588352400,,9.38
1588356000,,9.21
1588359600,,9.04
1588363200,,8.88
1588366800,,8.88
1588370400,,8.88
1588374000,,9.04
1588377600,,9.25
1588381200,,9.42
1588384800,,9.75
1588388400,,9.62
1588392000,,9.33
1588395600,,8.92
1588399200,,8.75
1588402800,,8.33
1588406400,,7.83
1588410000,,7.54
1588413600,,7.42
1588417200,,7.58
1588420800,,7.79
1588424400,,8.21
1588428000,,8.50
1588431600,,8.75
1588435200,,8.92
1588438800,,8.96
1588442400,,8.96
1588446000,,9.12
1588449600,,9.12
1588453200,,9.04
1588456800,,9.12
1588460400,,9.21
1588464000,,8.92
1588467600,,8.96
1588471200,,8.62
1588474800,,8.67
1588478400,,9.00
1588482000,,9.12
1588485600,,8.88
1588489200,,8.88
1588492800,,8.88
1588496400,,8.92
1588500000,,8.96
1588503600,,8.92
1588507200,,9.04
1588510800,,9.08
1588514400,,9.25
1588518000,,9.38
1588521600,,9.33
1588525200,,9.46
1588528800,,9.62
1588532400,,9.71
1588536000,,9.79
1588539600,,9.79
1588543200,,9.71
1588546800,,9.58
1588550400,,9.83
1588554000,,9.79
1588557600,,9.79
1588561200,,10.04
1588564800,,10.04
1588568400,,10.00
1588572000,,10.33
1588575600,,10.50
1588579200,,10.79
1588582800,,10.88
1588586400,,11.04
1588590000,,11.08
1588593600,,10.74
1588597200,,10.83
1588600800,,10.70
1588604400,,10.83
1588608000,,11.13
1588611600,,11.48
1588615200,,12.04
1588618800,,12.78
1588622400,,13.96
1588626000,,15.61
1588629600,,17.26
1588633200,,18.57
1588636800,,7.50
1588640400,,8.00
1588647600,,4.00
1588651200,,4.00
1588654800,,5.00
1588658400,,5.00
1588662000,,5.50
1588665600,,18.48
1588669200,,18.22
1588672800,,17.74
1588676400,,17.61
1588680000,,17.39
1588683600,,17.30
1588687200,,17.43
1588690800,,17.35
1588694400,,16.91
1588698000,,16.48
1588701600,,15.61
1588705200,,14.43
1588708800,,12.78
1588712400,,11.13
1588716000,,9.61
1588719600,,8.22
1588723200,,6.00
1588726800,,6.00
1588734000,,2.00
1588737600,,2.00
1588741200,,3.50
1588744800,,3.33
1588748400,,3.75
1588752000,,7.35
1588755600,,7.61
1588759200,,7.70
1588762800,,7.78
1588766400,,7.65
