ts,pm25,pm10
1587204000,2.68,6.38
1587207600,2.42,6.49
1587211200,2.45,6.05
1587214800,2.39,5.79
1587218400,2.44,6.36
1587222000,2.25,5.79
1587225600,2.43,6.27
1587229200,2.47,6.35
1587232800,2.35,6.19
1587236400,2.25,6.13
1587240000,2.32,6.03
1587243600,2.34,6.51
1587247200,2.32,6.64
1587250800,2.29,6.20
1587254400,2.20,5.64
1587258000,2.04,5.83
1587261600,1.90,5.44
1587265200,1.98,5.34
1587268800,2.10,5.38
1587272400,2.20,5.93
1587276000,2.08,5.73
1587279600,2.11,6.13
1587283200,1.85,5.10
1587286800,2.02,5.73
1587290400,2.11,5.71
1587294000,2.11,6.14
1587297600,2.03,5.54
1587301200,2.33,6.94
1587304800,2.18,5.90
1587308400,2.11,6.09
1587312000,2.12,5.67
1587315600,2.03,5.55
1587319200,1.86,5.13
1587322800,2.17,5.90
1587326400,2.10,6.08
1587330000,3.09,6.82
1587333600,2.46,5.60
1587337200,2.19,5.65
1587340800,4.76,8.70
1587344400,2.36,5.98
1587348000,3.08,7.06
1587351600,3.77,7.84
1587355200,3.02,6.27
1587358800,2.07,5.09
1587362400,2.49,6.14
1587366000,2.68,6.71
1587369600,2.26,5.80
1587373200,2.40,5.93
1587376800,2.66,7.39
1587380400,2.63,6.50
1587384000,2.29,5.71
1587387600,2.46,6.07
1587391200,2.32,5.72
1587394800,2.30,5.26
1587398400,2.05,4.05
1587402000,2.15,4.13
1587405600,2.33,4.51
1587409200,2.50,5.05
1587412800,2.76,4.84
1587416400,2.77,5.28
1587420000,2.78,4.45
1587423600,2.65,4.71
1587427200,2.78,5.47
1587430800,2.77,5.63
1587434400,2.57,5.08
1587438000,2.76,5.02
1587441600,2.97,6.00
1587445200,2.89,5.44
1587448800,2.75,4.53
1587452400,2.55,4.86
1587456000,2.48,4.24
1587459600,2.74,4.87
1587463200,2.88,5.19
1587466800,2.58,4.75
1587470400,2.43,4.16
1587474000,2.78,4.98
1587477600,2.70,5.58
1587481200,3.22,6.07
1587484800,2.20,3.94
1587488400,1.24,2.32
1587492000,1.74,2.55
1587495600,1.33,2.17
1587499200,0.946,1.63
1587502800,0.844,1.38
1587506400,0.848,1.60
1587510000,1.11,1.82
1587513600,1.10,1.82
1587517200,1.13,1.90
1587520800,1.08,1.80
1587524400,1.13,1.8
